Jahr,Deutschland,Frankreich,Italien,Übriges Ausland,Ausland zusammen
1920,28355,4037,3305,2392,38089
1925,21758,3165,3258,2292,30473
1930,21137,2832,3170,2339,29478
1935,16871,2293,3010,2376,24550
1940,9645,1595,2612,2210,16062
1945,7504,1752,2250,2077,13583
1950,7773,2057,3851,2315,15996
1955,7884,1941,4172,3416,17413
1960,7730,1802,5569,4273,19374
1965,8314,1894,13061,8722,31991
